environment,team,severity,average in days (including all open findings),average in days for findings opened within 2022-03-13T13:59-2022-06-11T13:59,maximum (all opened findings),maximum in days for findings opened within 2022-03-13T13:59-2022-06-11T13:59,amount of findings (all open),amount of findings in days for findings opened within 2022-03-13T13:59-2022-06-11T13:59
"cluster/minikube","team/operations","Medium",5,5,8,8,6,6
"cluster/test","team/security","Medium",4,4,4,4,2,2
"cluster/test-cluster","team/operations-test","Medium",4,4,8,8,9,9
"cluster/test-cluster","team/project-test","High",5,5,8,8,6,6
"cluster/test-cluster","team/project-test","Medium",7,7,8,8,16,16
"cluster/test-cluster","team/security-test","High",8,8,8,8,38,38
"cluster/test-cluster","team/security-test","Medium",7,7,8,8,37,37
"cluster/test-cluster","team/security-test","Low",8,8,8,8,1,1
"cluster/test-cluster","team/test","Medium",1,1,3,3,5,5
"cluster/test-cluster","team/test-1970","Medium",8,8,8,8,2,2
